region,date,week,rna_mean_faeces,ci_low_rna,ci_high_rna,level,lab
Capital Region of Denmark,2024-11-07,2024-W45,842.24,552.78,1283.28,Low level,SSI
Central Denmark Region,2024-11-07,2024-W45,709.3,521.07,965.54,Low level,SSI
North Denmark Region,2024-11-07,2024-W45,734.51,567.89,950.03,Low level,SSI
Region Zealand,2024-11-07,2024-W45,1240.65,865.16,1779.12,Low level,SSI
Region of Southern Denmark,2024-11-07,2024-W45,1115.33,652.67,1905.95,Low level,SSI
Capital Region of Denmark,2024-11-14,2024-W46,770.75,512.07,1160.11,Low level,SSI
Central Denmark Region,2024-11-14,2024-W46,1026.86,778.66,1354.16,Low level,SSI
North Denmark Region,2024-11-14,2024-W46,791.36,584.93,1070.64,Low level,SSI
Region Zealand,2024-11-14,2024-W46,1190.67,790.37,1793.72,Low level,SSI
Region of Southern Denmark,2024-11-14,2024-W46,2184.46,1605.74,2971.76,Medium level,SSI
Capital Region of Denmark,2024-11-21,2024-W47,923.99,696.88,1225.11,Low level,SSI
Central Denmark Region,2024-11-21,2024-W47,911.41,733.65,1132.25,Low level,SSI
North Denmark Region,2024-11-21,2024-W47,777.59,540,1119.7,Low level,SSI
Region Zealand,2024-11-21,2024-W47,1719.43,1141.54,2589.88,Low level,SSI
Region of Southern Denmark,2024-11-21,2024-W47,1554.27,1089.68,2216.95,Low level,SSI
Capital Region of Denmark,2024-11-28,2024-W48,1571.36,1191.04,2073.13,Low level,SSI
Central Denmark Region,2024-11-28,2024-W48,1380.39,1117.9,1704.51,Low level,SSI
North Denmark Region,2024-11-28,2024-W48,1480,1261.91,1735.77,Low level,SSI
Region Zealand,2024-11-28,2024-W48,1354.12,949.91,1930.33,Low level,SSI
Region of Southern Denmark,2024-11-28,2024-W48,2632.25,1663.28,4165.72,Medium level,SSI
Capital Region of Denmark,2024-12-05,2024-W49,1810.14,1492.53,2195.33,Low level,SSI
Central Denmark Region,2024-12-05,2024-W49,1598.38,1187.89,2150.72,Low level,SSI
North Denmark Region,2024-12-05,2024-W49,1525.64,942.94,2468.42,Low level,SSI
Region Zealand,2024-12-05,2024-W49,2636.93,1981.43,3509.28,Medium level,SSI
Region of Southern Denmark,2024-12-05,2024-W49,2665.01,2007.7,3537.51,Medium level,SSI
Capital Region of Denmark,2024-12-12,2024-W50,1535.28,1063.87,2215.56,Low level,SSI
Central Denmark Region,2024-12-12,2024-W50,2096.13,1377.15,3190.48,Medium level,SSI
North Denmark Region,2024-12-12,2024-W50,1422.58,889.26,2275.77,Low level,SSI
Region Zealand,2024-12-12,2024-W50,3258.74,2350.55,4517.83,Medium level,SSI
Region of Southern Denmark,2024-12-12,2024-W50,3081.45,2356.26,4029.83,Medium level,SSI
Capital Region of Denmark,2024-12-19,2024-W51,3105.27,2478.77,3890.12,Medium level,SSI
Central Denmark Region,2024-12-19,2024-W51,2699.82,2147.92,3393.53,Medium level,SSI
North Denmark Region,2024-12-19,2024-W51,2585.68,2017.65,3313.64,Medium level,SSI
Region Zealand,2024-12-19,2024-W51,3477.51,3009.46,4018.35,Medium level,SSI
Region of Southern Denmark,2024-12-19,2024-W51,3257.52,2550.2,4161.01,Medium level,SSI
Capital Region of Denmark,2025-01-02,2025-W01,2344.97,1415.17,3885.68,Medium level,SSI
Central Denmark Region,2025-01-02,2025-W01,3896.11,2669.43,5686.51,Medium level,SSI
North Denmark Region,2025-01-02,2025-W01,3165.79,1781.32,5626.31,Medium level,SSI
Region Zealand,2025-01-02,2025-W01,5466.13,2467.28,12109.92,Medium level,SSI
Region of Southern Denmark,2025-01-02,2025-W01,2443.68,2171.87,2749.5,Medium level,SSI
Capital Region of Denmark,2025-01-09,2025-W02,1033.87,784.18,1363.07,Low level,SSI
Central Denmark Region,2025-01-09,2025-W02,1080.24,838.54,1391.6,Low level,SSI
North Denmark Region,2025-01-09,2025-W02,1663.56,1022.37,2706.87,Low level,SSI
Region Zealand,2025-01-09,2025-W02,1264.12,833.48,1917.25,Low level,SSI
Region of Southern Denmark,2025-01-09,2025-W02,988.93,715.39,1367.06,Low level,SSI
Capital Region of Denmark,2025-01-16,2025-W03,524.09,441.89,621.58,Low level,SSI
Central Denmark Region,2025-01-16,2025-W03,1113.22,843.6,1469.01,Low level,SSI
North Denmark Region,2025-01-16,2025-W03,742.7,533.32,1034.3,Low level,SSI
Region Zealand,2025-01-16,2025-W03,1003.07,766.97,1311.86,Low level,SSI
Region of Southern Denmark,2025-01-16,2025-W03,844.96,647.72,1102.28,Low level,SSI
Capital Region of Denmark,2025-01-23,2025-W04,368.72,267.94,507.39,Very low level,SSI
Central Denmark Region,2025-01-23,2025-W04,415.46,312.02,553.18,Very low level,SSI
North Denmark Region,2025-01-23,2025-W04,575.52,355.01,933,Low level,SSI
Region Zealand,2025-01-23,2025-W04,278.09,112.3,688.65,Very low level,SSI
Region of Southern Denmark,2025-01-23,2025-W04,466.13,371.48,584.9,Low level,SSI
Capital Region of Denmark,2025-01-30,2025-W05,481.36,394.7,587.05,Low level,SSI
Central Denmark Region,2025-01-30,2025-W05,667.16,489.97,908.43,Low level,SSI
North Denmark Region,2025-01-30,2025-W05,815.08,620.08,1071.38,Low level,SSI
Region Zealand,2025-01-30,2025-W05,529.09,344.27,813.14,Low level,SSI
Region of Southern Denmark,2025-01-30,2025-W05,612.91,447.75,838.98,Low level,SSI
Capital Region of Denmark,2025-02-06,2025-W06,533.12,435.27,652.97,Low level,SSI
Central Denmark Region,2025-02-06,2025-W06,838.73,626.65,1122.59,Low level,SSI
North Denmark Region,2025-02-06,2025-W06,905.27,730.8,1121.38,Low level,SSI
Region Zealand,2025-02-06,2025-W06,609.05,374.82,989.66,Low level,SSI
Region of Southern Denmark,2025-02-06,2025-W06,824.2,630.97,1076.62,Low level,SSI
Capital Region of Denmark,2025-02-13,2025-W07,492.99,324.59,748.76,Low level,SSI
Central Denmark Region,2025-02-13,2025-W07,935.23,602.41,1451.93,Low level,SSI
North Denmark Region,2025-02-13,2025-W07,861.4,458.69,1617.71,Low level,SSI
Region Zealand,2025-02-13,2025-W07,463.09,253.58,845.71,Low level,SSI
Region of Southern Denmark,2025-02-13,2025-W07,1201.41,956.93,1508.34,Low level,SSI
Capital Region of Denmark,2025-02-20,2025-W08,497.2,355.89,694.6,Low level,SSI
Central Denmark Region,2025-02-20,2025-W08,867.79,695.34,1083.01,Low level,SSI
North Denmark Region,2025-02-20,2025-W08,1395.04,926.13,2101.37,Low level,SSI
Region Zealand,2025-02-20,2025-W08,383.25,221.24,663.89,Very low level,SSI
Region of Southern Denmark,2025-02-20,2025-W08,1024.25,879.81,1192.41,Low level,SSI
Capital Region of Denmark,2025-02-27,2025-W09,447.76,260.95,768.32,Very low level,SSI
Central Denmark Region,2025-02-27,2025-W09,474.09,382.71,587.3,Low level,SSI
North Denmark Region,2025-02-27,2025-W09,720.71,595.93,871.61,Low level,SSI
Region Zealand,2025-02-27,2025-W09,308.38,207.89,457.46,Very low level,SSI
Region of Southern Denmark,2025-02-27,2025-W09,853.14,546.26,1332.42,Low level,SSI
Capital Region of Denmark,2025-03-06,2025-W10,138.52,98.36,195.07,Very low level,SSI
Central Denmark Region,2025-03-06,2025-W10,249.87,159.14,392.35,Very low level,SSI
North Denmark Region,2025-03-06,2025-W10,216.83,129.44,363.21,Very low level,SSI
Region Zealand,2025-03-06,2025-W10,215.77,108.98,427.21,Very low level,SSI
Region of Southern Denmark,2025-03-06,2025-W10,335.54,262.52,428.87,Very low level,SSI
Capital Region of Denmark,2025-03-13,2025-W11,292.1,212.36,401.78,Very low level,SSI
Central Denmark Region,2025-03-13,2025-W11,360.45,287.75,451.52,Very low level,SSI
North Denmark Region,2025-03-13,2025-W11,279.31,222.01,351.41,Very low level,SSI
Region Zealand,2025-03-13,2025-W11,382.23,260.37,561.12,Very low level,SSI
Region of Southern Denmark,2025-03-13,2025-W11,308.68,245.11,388.74,Very low level,SSI
Capital Region of Denmark,2025-03-20,2025-W12,252.58,190.49,334.91,Very low level,SSI
Central Denmark Region,2025-03-20,2025-W12,189.46,100.1,358.61,Very low level,SSI
North Denmark Region,2025-03-20,2025-W12,161.43,134.61,193.59,Very low level,SSI
Region Zealand,2025-03-20,2025-W12,200,126.85,315.33,Very low level,SSI
Region of Southern Denmark,2025-03-20,2025-W12,260.7,188.76,360.08,Very low level,SSI
Capital Region of Denmark,2025-03-27,2025-W13,107.27,63.52,181.18,Very low level,SSI
Central Denmark Region,2025-03-27,2025-W13,94.7,58.34,153.74,Very low level,SSI
North Denmark Region,2025-03-27,2025-W13,162.45,125.81,209.74,Very low level,SSI
Region Zealand,2025-03-27,2025-W13,134.67,91.94,197.27,Very low level,SSI
Region of Southern Denmark,2025-03-27,2025-W13,189.38,133.33,268.99,Very low level,SSI
Capital Region of Denmark,2025-04-03,2025-W14,178.07,136.37,232.52,Very low level,SSI
Central Denmark Region,2025-04-03,2025-W14,121.41,80.6,182.9,Very low level,SSI
North Denmark Region,2025-04-03,2025-W14,125.82,79.07,200.21,Very low level,SSI
Region Zealand,2025-04-03,2025-W14,82.9,53.8,127.75,Very low level,SSI
Region of Southern Denmark,2025-04-03,2025-W14,180.11,134.82,240.61,Very low level,SSI
Capital Region of Denmark,2025-04-10,2025-W15,190.29,152.37,237.64,Very low level,SSI
Central Denmark Region,2025-04-10,2025-W15,194.18,121.4,310.62,Very low level,SSI
North Denmark Region,2025-04-10,2025-W15,166.14,122.04,226.19,Very low level,SSI
Region Zealand,2025-04-10,2025-W15,149.2,93.11,239.08,Very low level,SSI
Region of Southern Denmark,2025-04-10,2025-W15,158.42,116.69,215.07,Very low level,SSI
Capital Region of Denmark,2025-04-17,2025-W16,63.9,40.44,100.97,Very low level,SSI
Central Denmark Region,2025-04-17,2025-W16,27.82,11.63,66.56,Very low level,SSI
North Denmark Region,2025-04-17,2025-W16,175.23,97.92,313.58,Very low level,SSI
Region Zealand,2025-04-17,2025-W16,148.42,23.29,945.75,Very low level,SSI
Region of Southern Denmark,2025-04-17,2025-W16,133.57,62.72,284.44,Very low level,SSI
Capital Region of Denmark,2025-04-24,2025-W17,123.87,70.39,217.97,Very low level,SSI
Central Denmark Region,2025-04-24,2025-W17,46.27,25.03,85.5,Very low level,SSI
North Denmark Region,2025-04-24,2025-W17,177.02,87.85,356.68,Very low level,SSI
Region Zealand,2025-04-24,2025-W17,98.08,25.11,383.12,Very low level,SSI
Region of Southern Denmark,2025-04-24,2025-W17,147.74,94.99,229.78,Very low level,SSI
Capital Region of Denmark,2025-05-01,2025-W18,213.46,144.45,315.43,Very low level,SSI
Central Denmark Region,2025-05-01,2025-W18,111.49,73.9,168.18,Very low level,SSI
North Denmark Region,2025-05-01,2025-W18,149.14,84.74,262.49,Very low level,SSI
Region Zealand,2025-05-01,2025-W18,115.56,52.37,254.98,Very low level,SSI
Region of Southern Denmark,2025-05-01,2025-W18,250.68,126.21,497.91,Very low level,SSI
Capital Region of Denmark,2025-05-08,2025-W19,87.63,51.69,148.56,Very low level,SSI
Central Denmark Region,2025-05-08,2025-W19,89.92,53.91,149.98,Very low level,SSI
North Denmark Region,2025-05-08,2025-W19,120.21,55.38,260.93,Very low level,SSI
Region Zealand,2025-05-08,2025-W19,78.42,49.45,124.39,Very low level,SSI
Region of Southern Denmark,2025-05-08,2025-W19,92.11,69.9,121.37,Very low level,SSI
Capital Region of Denmark,2025-05-15,2025-W20,49.49,23.33,104.96,Very low level,SSI
Central Denmark Region,2025-05-15,2025-W20,66.38,36.85,119.58,Very low level,SSI
North Denmark Region,2025-05-15,2025-W20,118.95,60.05,235.64,Very low level,SSI
Region Zealand,2025-05-15,2025-W20,71.25,31.16,162.92,Very low level,SSI
Region of Southern Denmark,2025-05-15,2025-W20,63.85,39.65,102.82,Very low level,SSI
Capital Region of Denmark,2025-05-22,2025-W21,57.28,32.67,100.46,Very low level,SSI
Central Denmark Region,2025-05-22,2025-W21,87.69,54.35,141.5,Very low level,SSI
North Denmark Region,2025-05-22,2025-W21,101.27,46.62,220,Very low level,SSI
Region Zealand,2025-05-22,2025-W21,64.74,35.95,116.6,Very low level,SSI
Region of Southern Denmark,2025-05-22,2025-W21,146.38,85.71,250.01,Very low level,SSI
Capital Region of Denmark,2025-05-29,2025-W22,124.71,71.15,218.58,Very low level,SSI
Central Denmark Region,2025-05-29,2025-W22,206.89,112.75,379.61,Very low level,SSI
North Denmark Region,2025-05-29,2025-W22,261,84.54,805.76,Very low level,SSI
Region Zealand,2025-05-29,2025-W22,130.17,75.64,224.02,Very low level,SSI
Region of Southern Denmark,2025-05-29,2025-W22,119.64,47.51,301.22,Very low level,SSI
Capital Region of Denmark,2025-06-05,2025-W23,123.97,41.27,372.41,Very low level,SSI
Central Denmark Region,2025-06-05,2025-W23,97,64.91,144.93,Very low level,SSI
North Denmark Region,2025-06-05,2025-W23,192.06,84.94,434.28,Very low level,SSI
Region Zealand,2025-06-05,2025-W23,84.58,42.81,167.1,Very low level,SSI
Region of Southern Denmark,2025-06-05,2025-W23,90.94,52.54,157.39,Very low level,SSI
Capital Region of Denmark,2025-06-12,2025-W24,163.73,101.22,264.84,Very low level,SSI
Central Denmark Region,2025-06-12,2025-W24,119.62,82.67,173.09,Very low level,SSI
North Denmark Region,2025-06-12,2025-W24,103.59,55.43,193.59,Very low level,SSI
Region Zealand,2025-06-12,2025-W24,105.87,49.68,225.58,Very low level,SSI
Region of Southern Denmark,2025-06-12,2025-W24,93.32,44.79,194.44,Very low level,SSI
